votu	lifestyle	avg_temperate_complete	diptest_ds	diptest_dnds
vOTU-000344	lytic	0.06972115454545455	0.021942453948175903	0.019922561578226645
vOTU-000383	temperate	0.9875000000000003	0.009435189600318802	0.008728729321808569
vOTU-000396	temperate	0.7232142857142857	0.012753008185064328	0.0430761251472636
vOTU-000427	temperate	0.7602478	0.06446616813695616	0.09969780231240152
vOTU-000434	lytic	0.4943181818181818	0.039525271863325065	0.0901535431070221
vOTU-000449	temperate	0.9201388888888888	0.031889417174521734	0.02638817519388541
vOTU-000450	temperate	0.8847222222222223	0.08852352219877593	0.1818391426481024
vOTU-000457	temperate	0.8216654444444444	0.016161925387768186	0.01791778400673001
vOTU-000463	temperate	1.0	0.00848997153499336	0.010221600913448353
vOTU-000496	temperate	0.8760416666666665	0.03360546644433493	0.019629680151679575
vOTU-000525	temperate	0.8462500000000001	0.02765821525477209	0.11449948035688996
vOTU-000543	temperate	0.21193181818181817	0.008002673770867328	0.008188931490702643
vOTU-000552	temperate	0.39138491867857134	0.02181717452058315	0.034771879023780726
vOTU-000640	lytic	0.23295454545454544	0.007449140787839866	0.008499399231301412
vOTU-000661	temperate	0.8915322580645159	0.01822210479496719	0.04989104272332574
vOTU-000782	temperate	0.853409090909091	0.019010489379085664	0.06905981702299678
vOTU-000811	temperate	0.9713931705882353	0.011032103485229807	0.020775385059433917
vOTU-000919	temperate	0.6106314600000002	0.03050594917139668	0.056921336737721796
vOTU-000989	temperate	0.777182	0.012383980006558258	0.020841864251864732
vOTU-001231	lytic	0.18706866666666666	0.01885683951847947	0.047315602694346544
vOTU-001245	temperate	1.0	0.10376531416118927	0.13744185617269464
vOTU-001322	temperate	0.20485007692307694	0.04094388281532934	0.07349058758635796
vOTU-001323	temperate	0.9863636363636364	0.027228940919322202	0.040844581442742854
vOTU-001340	temperate	0.725	0.036933721228662404	0.08942433125849189
vOTU-001927	temperate	0.825	0.03190727563140897	0.0704546958287149
vOTU-002075	temperate	0.06185897435897436	0.016128485301543354	0.03133936556393372
vOTU-002240	temperate	0.975	0.0022085332294796895	0.0025140619533145676
vOTU-003089	temperate	0.6950892857142857	0.040954755253231646	0.09284347093876733
vOTU-004890	temperate	0.8975	0.016919138564453585	0.026444945755173862
vOTU-006326	temperate	0.15418503157894736	0.008387684449627602	0.009770663698118444
vOTU-006490	temperate	1.0	0.037013025928484974	0.08099140242040127
vOTU-007404	lytic	0.33475523076923075	0.007307755542809549	0.0305234249790049
vOTU-007405	lytic	0.6810810810810811	0.02915854531806992	0.09507643803529675
vOTU-007410	lytic	0.365235	0.01072832300876093	0.012068874368077952
vOTU-007412	lytic	0.2	0.017116066570723804	0.10018013946158269
vOTU-007413	temperate	0.8306250000000001	0.023530076634320923	0.040190235898630536
vOTU-007416	temperate	0.12589285714285717	0.009424082195780238	0.019231680160343895
vOTU-044735	temperate	0.559375	0.03409761265183974	0.06172335756951889
